product	shop_name	price	listing_age	total_views	views_per_month	total_reviews	total_favorites	avg_reviews	shop_age	total_shop_sales	category	listing_type
"TOTK Resin Wood Night Light Christmas Gift for Game fans - Birthday Gift, TLOZ BOTW Master Sword Lamp Tabletop Decor, Father's Day Gift"	MrChuahStore	$98.20 	23	"779,285"	33882	410	"33,055"	18	27		Home & Living	
"Birthday Gift Scuba Diver Epoxy Resin Night Light, Diving Personalised Handmade Wooden Light, Unique Home Decor Gifts, Gift for Her"	Musidee	$99.90 	25	"575,354"	23014.2	242	"13,499"	10	66		Home & Living	
"Personalized color letter dried flower resin name lamp,custom real flower nightlight,nice gift for Halloween Christmas,birthday wedding gift"	FangPresent	$45.60 	57	"456,670"	8011.8	609	"20,771"	11	65		Home & Living	
"Volcano Resin Diorama Lamp: Eruption Night Light, Miniature Landscape, Resin Sculpture"	moonman25	$395.00 	49	"355,101"	7247	43	"13,936"	1	94		Art & Collectibles	
"Submarine Diorama Resin Lamp, Military Warship Explosion Decoration, Type A, Unique Gifts"	moonman25	$395.00 	59	"305,452"	5177.2	34	"6,916"	1	94		Art & Collectibles	
"Epoxy Resin Night Light, Unique color changing resin wood lamp, Wooden Night Lights, Epoxy Resin Wood Rustic Table Lamp, Rustic home decor"	Hirosart	$123.75 	58	"280,953"	4844	142	"9,806"	2	64		Home & Living	
Mermaid Resin Lamp | Mermaid Resin Night Light | Mermaid Gifts | Ocean Wood Resin Night Light | Gift for mermaid lover	Smartyleowlstore	$155.00 	80	"271,679"	3396	42	"8,533"	1	80		Home & Living	
"Humpback whale and Jellyfish resin night light, unique handmade diorama resin desk lamp , Gift for Him, birthday gift , epoxy resin lamp"	ResinMion	$99.90 	39	"249,794"	6405	225	"10,652"	6	43		Home & Living	
"DEEP BLUE SEA Epoxy Lamp, Custom Epoxy Resin Lamp, Wood Night Light, Resin Desk Lamp, Table Lamp, Custom Night Light, Gift for Boyfriends"	BreakWooden	$198.80 	64	"245,273"	3832.4	178	"9,566"	3	66		Home & Living	
ANIME Night Lamp Epoxy lamp handmade from wood and resin Custom Anime Night Light wood lamp resin Anime Night light Resin Lamp Gift for him	Hirosart	$137.25 	25	"244,842"	9793.7	265	"4,623"	11	64		Home & Living	
"Handmade Resin Ocean Lamp, Octopus & Divers Diorama Night Light, custom night light, wood resin decor, gift for him, Christmas gift"	ResinLampMadebyRV	$109.80 	30	"239,919"	7997.3	170	"5,828"	6	54		Home & Living	
"Handcrafted Scuba Diver Epoxy Lamp – Handmade Resin & Wood Night Light, Ocean Diver Design, Unique Christmas Gift for Him or Her"	BreakWooden	$163.33 	34	"225,884"	6643.6	425	"9,747"	13	66		Home & Living	
"Super anime resin night light, Dragon Ball Z Figure, gift ideas for him, Energy Warrior Battle Lamp, father's day gift ideas, Gift for dad"	ResinEpic	$99.80 	18	"225,170"	12509.4	260	"4,526"	14	39		Home & Living	
