web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781161977-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Presley on Jul 6, 2025","Perfect for my trip to Disney but also my monthly book club","Presley","Belle's Book Club Comfort Colors Shirt, Tale As Old As Time Belle’s Book Cafe Shirt, Belle Princess Book Tee, Book Lover Gift","5 out of 5 stars","https://i.etsystatic.com/6848416597/r/il/5da8f2/6848416597/il_340x270.6848416597_hpvs.jpg","https://www.etsy.com/listing/1904872515/belles-book-club-comfort-colors-shirt?ref=shop_review"
"1781161977-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","brittany on Jul 6, 2025","Absolutely love this shirt it’s perfect","brittany","Belle's Book Club Comfort Colors Shirt, Tale As Old As Time Belle’s Book Cafe Shirt, Belle Princess Book Tee, Book Lover Gift","5 out of 5 stars","https://i.etsystatic.com/6848416597/r/il/5da8f2/6848416597/il_340x270.6848416597_hpvs.jpg","https://www.etsy.com/listing/1904872515/belles-book-club-comfort-colors-shirt?ref=shop_review"
"1781161977-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Jyll on Jul 5, 2025","I work at the post office and am a sucker for nerdy, postal inspired items. Can’t wait to wear it!!","Jyll","Fourth Wing Dragons Stamp Comfort Colors Shirt, Tairn & Andarna TShirt, Dragon Rider Tee,  Basgiath War College Shirt, Bookish Gifts","5 out of 5 stars","https://i.etsystatic.com/6971076016/r/il/b2f852/6971076016/il_340x270.6971076016_qvg5.jpg","https://www.etsy.com/listing/4326356995/fourth-wing-dragons-stamp-comfort-colors?ref=shop_review"
"1781161977-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Etsy buyer on Jul 5, 2025","Item matched description and looks amazing! I can’t wait to wear this.","","Violet Apothecary Comfort Colors Shirt, Basgiath War College Merch, Fourth Wing Shirts, Riders Quadrant, Bookish Tee, Gift For Book Lover","5 out of 5 stars","https://i.etsystatic.com/6104605440/r/il/093db7/6104605440/il_340x270.6104605440_93cg.jpg",""
"1781161977-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Sarah on Jul 5, 2025","Great quality and fit well","Sarah","Retro No Kings Since 1776 Shirt Comfort Colors, Rejecting Kings Shirt, No Kings In America 86/47, 4th Of July America Tee","5 out of 5 stars","https://i.etsystatic.com/6944028536/r/il/34a7c7/6944028536/il_340x270.6944028536_d1il.jpg","https://www.etsy.com/listing/4321251586/retro-no-kings-since-1776-shirt-comfort?ref=shop_review"
"1781161977-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Deshia on Jul 5, 2025","Nice T-shirt and print. Efficient service. Well designed.","Deshia","Stars Hollow Where You Lead I Will Follow Comfort Colors Shirt, Lukes Diner Shirt, 2 Sided Stars Hollow, Retro Gilmore Girls Tee","5 out of 5 stars","https://i.etsystatic.com/6402185285/r/il/d9f1b8/6402185285/il_340x270.6402185285_mz4o.jpg","https://www.etsy.com/listing/1796473638/stars-hollow-where-you-lead-i-will?ref=shop_review"
"1781161977-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Hannah on Jul 5, 2025","Item is as described, fits good and feels good.","Hannah","Manon Blackbeak Throne of Glass Comfort Colors Shirt, The Thirteen Shirts, From Now Until The Darkness Claims Us Tee, ACOTAR Crescent City","5 out of 5 stars","https://i.etsystatic.com/6480334440/r/il/92a600/6480334440/il_340x270.6480334440_aeln.jpg",""
"1781161977-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Kahlia on Jul 4, 2025","Very cute, high quality, and super comfortable!!","Kahlia","Fourth Wing Dragon Comfort Colors Shirt,  Tairn & Andarna TShirt, Basgiath War College Tee, Dragon Rider Shirt, Bookish Gift for Readers","5 out of 5 stars","https://i.etsystatic.com/6617905583/r/il/110f98/6617905583/il_340x270.6617905583_1pgb.jpg","https://www.etsy.com/listing/1834444012/fourth-wing-dragon-comfort-colors-shirt?ref=shop_review"
"1781161977-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Denysa on Jul 4, 2025","Great quality and soft screen primt","Denysa","Belle's Book Club Comfort Colors Shirt, Tale As Old As Time Belle’s Book Cafe Shirt, Belle Princess Book Tee, Book Lover Gift","5 out of 5 stars","https://i.etsystatic.com/6848416597/r/il/5da8f2/6848416597/il_340x270.6848416597_hpvs.jpg","https://www.etsy.com/listing/1904872515/belles-book-club-comfort-colors-shirt?ref=shop_review"
"1781161977-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=65","","Etsy buyer on Jul 4, 2025","Love this shirt 👕 makes me feel like I have the only one!  Very comfortable and expresses my style","Etsy buyer","The Female Gaze Comfort Colors Shirt, Petrify The Patriarchy Shirt, Anti-Patriarchy Medusa Shirt, Feminist Activism,  Women's Rights Gift","5 out of 5 stars","https://i.etsystatic.com/6520959514/r/il/bd0482/6520959514/il_340x270.6520959514_3m82.jpg","https://www.etsy.com/listing/1847813203/the-female-gaze-comfort-colors-shirt?ref=shop_review"
