web_scraper_order,web_scraper_start_url,pagination,data,context,buyer,title,rating,image,url
"1781159438-1","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Brittany on Jun 10, 2026","Seller was responsive and great to work with! The sign I ordered for my son's 1st birthday was perfect!","Brittany","Striped Cotton Linen Birthday Banner, Custom Name Party Backdrop, Striped Fabric Hanging Decor, Kids Birthday Welcome","5 out of 5 stars","https://i.etsystatic.com/7930527909/r/il/684568/7930527909/il_340x270.7930527909_drd7.jpg","https://www.etsy.com/listing/4483844779/striped-cotton-linen-birthday-banner?ref=shop_review"
"1781159438-2","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Etsy buyer on Jun 9, 2026","Arrived very quickly and the shop owner was extremely responsive and very helpful!","","Bridal Shower Banner, Fresh Off The Market Theme Sign, Personalized Welcome Linen Decor, Bridal Showe sign decor","5 out of 5 stars","https://i.etsystatic.com/7912013304/r/il/e7a17f/7912013304/il_340x270.7912013304_1xvw.jpg","https://www.etsy.com/listing/4488543020/bridal-shower-banner-fresh-off-the?ref=shop_review"
"1781159438-3","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Miranda on Jun 9, 2026","Beautiful product. Exact as pictured.","Miranda","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","5 out of 5 stars","https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg","https://www.etsy.com/listing/4496130098/personalized-linen-striped-bar-or-event?ref=shop_review"
"1781159438-4","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Kyleigh on Jun 9, 2026","The item came surprisingly quickly!","Kyleigh","Personalized Linen striped bar or event Sign, Linen Cotton Wedding bar sign, Anniversary, custom name bar wedding sign, wedding banner","4 out of 5 stars","https://i.etsystatic.com/7918496449/r/il/783050/7918496449/il_340x270.7918496449_jtsf.jpg","https://www.etsy.com/listing/4481897750/personalized-linen-striped-bar-or-event?ref=shop_review"
"1781159438-5","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Malia on Jun 9, 2026","Quick turnaround time and arrived quickly","Malia","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","5 out of 5 stars","https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg","https://www.etsy.com/listing/4496130098/personalized-linen-striped-bar-or-event?ref=shop_review"
"1781159438-6","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Samantha on Jun 8, 2026","Beautifully done and quality fabric, arrived really quickly!","Samantha","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","5 out of 5 stars","https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg","https://www.etsy.com/listing/4496130098/personalized-linen-striped-bar-or-event?ref=shop_review"
"1781159438-7","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Etsy buyer on Jun 8, 2026","The sign doesn’t look like the photo","Etsy buyer","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","1 out of 5 stars","https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg",""
"1781159438-8","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Lauren on Jun 8, 2026","Was such a hit and very nice quality! So nice I will most likely cut and frame for nursery too.  Only thing that was slightly different than what I thought in the photos was that there was no top long loop for the banner, there were just so little loops on the sides.  I ended up just cutting them off the sides and sewing them to the top. Still worked out great!","Lauren","Striped Cotton Linen Birthday Banner, Custom Name Party Backdrop, Striped Fabric Hanging Decor, Kids Birthday Welcome","5 out of 5 stars","https://i.etsystatic.com/7930527909/r/il/684568/7930527909/il_340x270.7930527909_drd7.jpg",""
"1781159438-9","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Delia on Jun 8, 2026","The quality of the shirt was amazing exactly what we wanted! and it shipped fast!","Delia","Custom Graphic Photo Vintage Custom 40th 50th Birthday Bootleg Shirt, Personalized Photo Tee, Funny Gift, Birthday Gift","5 out of 5 stars","https://i.etsystatic.com/7694504822/r/il/65460a/7694504822/il_340x270.7694504822_o49n.jpg","https://www.etsy.com/listing/4455371385/custom-graphic-photo-vintage-custom-40th?ref=shop_review"
"1781159438-10","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Alayna on Jun 7, 2026","So excited to use this at my cocktail hour!","Alayna","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","5 out of 5 stars","https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg","https://www.etsy.com/listing/4496130098/personalized-linen-striped-bar-or-event?ref=shop_review"
"1781159438-11","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Alayna on Jun 7, 2026","Will look perfect for cocktail hour at my wedding!","Alayna","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","5 out of 5 stars","https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg","https://www.etsy.com/listing/4496130098/personalized-linen-striped-bar-or-event?ref=shop_review"
"1781159438-12","https://www.etsy.com/shop/GONdesignJEWELRY/reviews?","","Brooke on Jun 7, 2026","Loved it! Absolutely perfect for my toddler’s bday!","Brooke","Personalised Birthday Name Flag, Birthday Banner, Custom Birthday Banner, Fabric Sign, Fabric Birtday Sign,  linen Birthday Boho banner","5 out of 5 stars","https://i.etsystatic.com/7861378539/r/il/5c5797/7861378539/il_340x270.7861378539_jb2l.jpg","https://www.etsy.com/listing/4473194468/personalised-birthday-name-flag-birthday?ref=shop_review"
