web_scraper_order,web_scraper_start_url,pagination,data,review_date,review_count,context,buyer,title,rating,image,url,listing_id
1781159631-3,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,,"Etsy buyer on Oct 8, 2025",2025-10-08,5.0,"gift for my boyfriend, great quality and shipped fast",,"I Love My Cougar Girlfriend Comfort Colors Shirt, Two Sided Shirt For Boyfriend, Funny Cougar Girlfriend Tee, Gift For Him",5 out of 5 stars,https://i.etsystatic.com/6638484511/r/il/41de36/6638484511/il_340x270.6638484511_4xzf.jpg,https://www.etsy.com/listing/1863284009/i-love-my-cougar-girlfriend-comfort?ref=shop_review,1863284009
1781159631-7,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,,"Megan on Oct 6, 2025",2025-10-06,1.0,Love the shirt! Made well and super comfortable!,Megan,"Stars Hollow Luke's Diner Comfort Colors Shirt, Luke’s Coffee Mug Tee, Stars Hollow Connecticut Long Sleeve, Autumn Festival Gift",5 out of 5 stars,https://i.etsystatic.com/7085016294/r/il/71051e/7085016294/il_340x270.7085016294_bnv2.jpg,https://www.etsy.com/listing/4347273296/stars-hollow-lukes-diner-comfort-colors?ref=shop_review,4347273296
1781159631-8,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,,"Alyssa on Oct 3, 2025",2025-10-03,8.0,I love this shirt and wear it maybe too often?,Alyssa,"Villain Assistant Comfort Colors Shirt For Fan, Greeting From Rennedawn T Shirt, Villain Lover Tee, Funny Gift For Romantasy Book Lover",5 out of 5 stars,https://i.etsystatic.com/6567404770/r/il/5b3179/6567404770/il_340x270.6567404770_atc1.jpg,https://www.etsy.com/listing/1858558633/villain-assistant-comfort-colors-shirt?ref=shop_review,1858558633
1781159631-9,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,,"Cyrina on Oct 2, 2025",2025-10-02,1.0,"super cute, arrived quickly. does have a bit of a chemical smell but hoping that goes away in the wash",Cyrina,"Fourth Wing Books Stamp Shirt Comfort Colors, Fourth Wing Inspired Shirt, Dragon Rider Shirt, Romantasy Fan Shirt, Book Lovers Tee",5 out of 5 stars,https://i.etsystatic.com/7030864639/r/il/4069d7/7030864639/il_340x270.7030864639_8fvq.jpg,https://www.etsy.com/listing/4328546006/fourth-wing-books-stamp-shirt-comfort?ref=shop_review,4328546006
1781159637-20,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=17,"Danielle on Sep 30, 2025",2025-09-30,1.0,"Sizes run larger, I think, but that works perfect for me. The t-shirt is great quality and the images are very fun.",Danielle,"Beware Of A Vampire Comfort Colors Shirt, Funny Astarion Game Fan T Shirt, Astarion Dark Humor BG3 Apparel, High Elf Game",5 out of 5 stars,https://i.etsystatic.com/6687113578/r/il/9ad386/6687113578/il_340x270.6687113578_joro.jpg,https://www.etsy.com/listing/1882605049/beware-of-a-vampire-comfort-colors-shirt?ref=shop_review,1882605049
1781159637-22,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=17,"Ashley on Sep 28, 2025",2025-09-28,2.0,So comfy and I love wearing this shirt. I went with a size up for a larger fit.,Ashley,"Retro Spooky Island Shirt Comfort Colors,  Disco Skull Cartoon Halloween Movie T Shirt, The 90s SDWAY Tee, Halloween Skeleton Gift",5 out of 5 stars,https://i.etsystatic.com/7056537381/r/il/284e9c/7056537381/il_340x270.7056537381_8sr9.jpg,https://www.etsy.com/listing/4333147924/retro-spooky-island-shirt-comfort-colors?ref=shop_review,4333147924
1781159637-23,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=17,"Angela on Sep 27, 2025",2025-09-27,16.0,First shirt came off centered and they remade it quickly for us!,Angela,"Stars Hollow Where You Lead I Will Follow Comfort Colors Shirt, Lukes Diner Shirt, 2 Sided Stars Hollow, Retro Gilmore Girls Tee",5 out of 5 stars,https://i.etsystatic.com/6402185285/r/il/d9f1b8/6402185285/il_340x270.6402185285_mz4o.jpg,https://www.etsy.com/listing/1796473638/stars-hollow-where-you-lead-i-will?ref=shop_review,1796473638
1781159637-28,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=17,"AJ on Sep 25, 2025",2025-09-25,9.0,"Was bought as a birthday gift and it came quickly, looks nice, and my friend LOVED it!! Great gift for your friends who love dark romance!",AJ,"Run Little Mouse Comfort Colors Shirt, Rose Skeleton Shirt, Haunting Adeline Tshirt, Dark Romance Merch, Smut Reader, Book Lover Gifts",5 out of 5 stars,https://i.etsystatic.com/6654307922/r/il/50b192/6654307922/il_340x270.6654307922_skzi.jpg,https://www.etsy.com/listing/1861983874/run-little-mouse-comfort-colors-shirt?ref=shop_review,1861983874
1781159643-29,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Amy on Sep 25, 2025",2025-09-25,20.0,The item is great would order again,Amy,"Ridoc Quest Squad Comfort Colors Shirt, I Kept The Inside Thoughts Inside Tee, Onyx Storm Fourth Wing Shirt For Fans, Bookish Gift",5 out of 5 stars,https://i.etsystatic.com/6641562060/r/il/6cb091/6641562060/il_340x270.6641562060_ih0l.jpg,https://www.etsy.com/listing/1873237315/ridoc-quest-squad-comfort-colors-shirt-i?ref=shop_review,1873237315
1781159643-32,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Andrew on Sep 24, 2025",2025-09-24,40.0,Looks and feels good. Shipped just fine,Andrew,"Jasmine Dragon Tea Shop Comfort Colors Shirt, Uncle Iroh Shirt Gift, Anime Lover's Gift, Uncle Iroh Tea Shop Inspired, Avatar TShirt",5 out of 5 stars,https://i.etsystatic.com/6557721462/r/il/128753/6557721462/il_340x270.6557721462_a4nm.jpg,https://www.etsy.com/listing/1842339560/jasmine-dragon-tea-shop-comfort-colors?ref=shop_review,1842339560
1781159643-33,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Lily on Sep 23, 2025",2025-09-23,1.0,absolutely loved this shirt and it came very quickly!!!,Lily,"TOG Book Stamps Comfort Colors Shirt, Terrasen The Thirteen T Shirt, Aelin Fireheart Tee, TOG Series Gift For Book Lover",5 out of 5 stars,https://i.etsystatic.com/7036747971/r/il/4eb391/7036747971/il_340x270.7036747971_p053.jpg,https://www.etsy.com/listing/4329603866/tog-book-stamps-comfort-colors-shirt?ref=shop_review,4329603866
1781159643-34,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Liz on Sep 23, 2025",2025-09-23,2.0,So cute!! Love the design,Liz,"The Parent Trap Camp Walden Comfort Colors Shirt, 90s Nostalgia TShirt, Hallie Annie Parker Birthday Gift, Camp Walden Vacation Shirt",5 out of 5 stars,https://i.etsystatic.com/7033861137/r/il/22bf99/7033861137/il_340x270.7033861137_qpff.jpg,https://www.etsy.com/listing/4329098307/the-parent-trap-camp-walden-comfort?ref=shop_review,4329098307
1781159643-36,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Etsy buyer on Sep 23, 2025",2025-09-23,15.0,Looks great! My sister in law is going to love it!,Etsy buyer,"Shadowsinger Night Court Comfort Color Shirts, Azriel SJM Book Merch Inspired, The Bat Boys Velraris Tee",5 out of 5 stars,https://i.etsystatic.com/6087147986/r/il/f15451/6087147986/il_340x270.6087147986_odir.jpg,https://www.etsy.com/listing/1738772906/shadowsinger-night-court-comfort-color?ref=shop_review,1738772906
1781159643-38,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Ashley on Sep 23, 2025",2025-09-23,3.0,Hangman’s enduros ndjdjd Keenan’s Nanak,Ashley,"Throne Of Glass Fan Comfort Colors Shirt, Aelin Galathynius Fireheart Aelin T Shirt, Kingsflame The Thirteen",5 out of 5 stars,https://i.etsystatic.com/6386807788/r/il/9f96f6/6386807788/il_340x270.6386807788_o382.jpg,https://www.etsy.com/listing/1803076530/throne-of-glass-fan-comfort-colors-shirt?ref=shop_review,1803076530
1781159643-39,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Tommi on Sep 23, 2025",2025-09-23,17.0,"I wish the shirt was softer, but all around amazing inspiring shirt.",Tommi,"Fireheart TOG Fan Merch Comfort Colors Shirt, Aelin Galathynius Fireheart T Shirt, To Whatever End Tee, Bookish Gift, Fantasy Apparel",5 out of 5 stars,https://i.etsystatic.com/6689656254/r/il/1e0b90/6689656254/il_340x270.6689656254_ga2j.jpg,https://www.etsy.com/listing/1883106261/fireheart-tog-fan-merch-comfort-colors?ref=shop_review,1883106261
1781159643-40,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=16,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=18,"Molly on Sep 23, 2025",2025-09-23,14.0,Great quality and perfect for football season!!!!,Molly,"Green Bay Football Comfort Colors Shirt, Sunday Football Shirts, Green Bay Fan Tee, Sunday Funday Game Day TShirt",5 out of 5 stars,https://i.etsystatic.com/6295155771/r/il/b0498f/6295155771/il_340x270.6295155771_6nj1.jpg,https://www.etsy.com/listing/1774617902/green-bay-football-comfort-colors-shirt?ref=shop_review,1774617902
