shop_name,listing_id,title,price,state,listing_age,views,favorites,reviews,avg_reviews,total_sold,visibility_score,est_reviews,category,sub_category,listing_type,ship_from,when_made,who_made,is_customizable,has_variations,etsy_url,image_url,tags,mo_sales,mo_revenue,total_sales_est,growth_rate,listing_active_count
AutumnloveByDaniel,1716838728,"Fourth Wing Dragons Set Of 3 Prints, Tairn Andarna Sgaeyl, Violet Sorrengail Xaden Riorson Dragon Rider Wall Art",9.98,active,21,22924,2258,1684,1,40000,100,27,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1716838728/fourth-wing-dragons-set-of-3-prints,https://i.etsystatic.com/51128845/r/il/0172af/6036767887/il_170x135.6036767887_cx4y.jpg,digital art; gift for reader; fourth wing dragons; fourth wing merch; basgiath war college; dragon rider; xaden riorson; violet sorrengail; rebecca yarros; tairn andarna; art print; basgiath college; poster print,,,,,0
AutumnloveByDaniel,1707753705,"Different Ways Say I Love You In Book Quotes PNG, I Love You Clipart, Aesthetic Love You, Instant Download",4.27,active,22,21888,922,1684,1,40000,100,18,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1707753705/different-ways-say-i-love-you-in-book,https://i.etsystatic.com/51128845/c/2018/1604/0/198/il/f7f2ab/5939707463/il_170x135.5939707463_lj54.jpg,gift for her; trendy bookish merch; reader merch png; bookish sweatshirt; book sweatshirt png; reader sweatshirt; tumblr hoodie; bookish crewneck; i love you sweater; love you hoodie png; valentine sweatshirt; different ways say; love lyrics shirt,,,,,0
AutumnloveByDaniel,1692893816,"Sarah J Maas set of 3 Prints, Bryce  Aelin  Feyre Tattoo, Library Wall Art, Digital Download, Romantasy Book Leading Ladies, Throne of Glass",9.98,active,22,19996,1138,1684,1,40000,100,16,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1692893816/sarah-j-maas-set-of-3-prints-bryce-aelin,https://i.etsystatic.com/51128845/r/il/9267c9/5888906784/il_170x135.5888906784_6yw4.jpg,digital wall art; wall art; prints wall art; sarah j maas; throne of glass; library decor; acotar merch; reader wall art; poster print; bryce quinlan; aelin galathynius; feyre archeron; png download,,,,,0
AutumnloveByDaniel,1743086495,"90’S Mom Vibes Instant Download, Funny Mom Digital File, Cool Moms Club Shirt Design, Funny Mom Life Png, Mother&#39;s Day Gift, Cool Mom Gifts",4.27,active,20,19211,1443,1684,2,40000,100,36,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1743086495/90s-mom-vibes-instant-download-funny-mom,https://i.etsystatic.com/51128845/r/il/0063df/6040827252/il_170x135.6040827252_1uou.jpg,mom life shirt; funny mom png; mothers day gift; cool mom gifts; roseanne mom; mother's day gift; peggy bundy png; kitty forman; mothers day digital; 90s mom vibes shirt; 90s tv moms; the nanny dgt; funny mom digital,,,,,0
AutumnloveByDaniel,1696870986,"Sarah J Maas Set Of 3 Prints, Terrasen, Velaris, FireHeart, Crescent City Digital Wall Art Pack, Bryce Aelin Feyre Png, SJM Inspired Print",9.98,active,22,15022,1649,1684,1,40000,100,26,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1696870986/sarah-j-maas-set-of-3-prints-terrasen,https://i.etsystatic.com/51128845/c/2135/1697/45/218/il/8ca81b/5951785081/il_170x135.5951785081_27cn.jpg,sarah j maas; crescent city; acotar merch; terrasen poster; aelin galathynius; prints wall art; acotar velaris; digital wall art; acotar art print; reader wall art; city of starlight; stained glass; sjm merch,,,,,0
AutumnloveByDaniel,1891005615,"Rolling Stones PNG Digital Download, He Is Risen Sublimation Design, Easter Christian PNG Clipart, Funny Christian Shirt Designs",4.27,active,11,12076,916,1684,2,40000,100,23,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1891005615/rolling-stones-png-digital-download-he,https://i.etsystatic.com/51128845/r/il/4ec71b/6778281357/il_170x135.6778281357_ei8d.jpg,rolling stones png; jesus has risen png; he is risen png; png digital download; jesus christ png; faith based graphic; religious png; resurrection png; gifts for friend; woman christian png; woman easter clothes; easter day shirt; trending christ tee,,,,,0
AutumnloveByDaniel,1841775519,"Wicked Together We’re Unlimited PNG Digital Download, Defy Gravity Broomstick Magic Wand PNG, Wizard Movie Fan Tee",4.27,active,14,11590,819,1684,2,40000,100,34,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1841775519/wicked-together-were-unlimited-png,https://i.etsystatic.com/51128845/r/il/d98857/6547286749/il_170x135.6547286749_65a2.jpg,defying gravity; wicked broadway; wicked the musical; glinda good witch; wicked movie png; wicked png; changed for good; png digital download; west side story; shiz university; wicked movie merch; wicked movie tee; wicked the movie,,,,,0
AutumnloveByDaniel,1861674303,"Fourth Wing Series Digital Download Merch For Fans, War College PNG, Dragon Rider Clipart, Book Merch Gift",4.27,active,13,11064,964,1684,2,40000,100,32,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1861674303/fourth-wing-series-digital-download,https://i.etsystatic.com/51128845/r/il/9a5740/6582304828/il_170x135.6582304828_bzyz.jpg,fourth wing png; basgiath war college; violet sorrengail; onyx storm release; xaden riorson; digital download; onyx storm png; bookish sweatshirt; dragon rider shirt; ya fantasy books; fourth wing xaden; wing leader; fourth wing art,,,,,0
AutumnloveByDaniel,1693569628,"Me And Karma Vibe Like That PNG, Karma Is A Cat Shirt Designs, Cat Lover Shirt, Concert Tee For Women, Digital Download, Teachers Gifts",4.27,active,22,9322,1047,1684,1,40000,99,27,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/1693569628/me-and-karma-vibe-like-that-png-karma-is,https://i.etsystatic.com/51128845/c/2037/1619/0/243/il/2a32c8/5891639024/il_170x135.5891639024_cdvi.jpg,me and karma png; me and karma shirt; vibe like that shirt; instant download; midnights album tee; png svg clipart; midnights shirt; concert merch; eras tour merch; cat lover shirt; karma eras shirt; swiftie gift; karma is a cat shirt,,,,,0
AutumnloveByDaniel,4421491794,"Babysitter Harrington Digital Download, Mom Of The Year St5 Stranger Movie PNG, Funny Movie Digital File For Fan, Stranger Gift",4.27,active,2,8836,733,1684,3,40000,100,5,Art & Collectibles,Digital Prints,download,US,2007_2009,i_did,False,False,https://www.etsy.com/listing/4421491794/babysitter-harrington-digital-download,https://i.etsystatic.com/51128845/c/1864/1864/167/167/il/419108/7493552828/il_170x135.7493552828_l4f0.jpg,stranger things; hawkins indiana; eleven sweatshirt; don't talk to; strangers movie; stranger things gift; steve harrington; eleven; mike wheeler; oversized crewneck; oversized sweatshirt; alien spooky; stranger alien shirt,,,,,0
