title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,tags,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,company_website,company_size,company_industry,company_address,company_description
Data Engineer/Data Analytics (DE/DA),Data Engineer /Data Analytics (DE/DA),https://www.topcv.vn/viec-lam/data-engineer-data-analytics-de-da/2101649.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,CÔNG TY TNHH RU9,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-tnhh-ru9/49878.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,Thoả thuận,Thoả thuận,Hồ Chí Minh,Hồ Chí Minh,3 năm,3 năm,30/04/2026,3 năm kinh nghiệm; Đại Học trở lên; Bảo hiểm xã hội; Thưởng hiệu quả làm việc; Phụ cấp: Ăn trưa; Data Analyst; IT - Phần mềm,- Hồ Chí Minh: Phường An Khánh (Thành phố Thủ Đức cũ),Thứ 2 - Thứ 6 (từ 09:00 đến 18:00); Thứ 7 (WFH): 09:00 - 13:00,"Quản lý hệ thống dữ liệu (40%) Thiết kế, triển khai, và duy trì hệ thống cơ sở dữ liệu, kho dữ liệu (data warehouse), và các pipeline ETL. Đảm bảo tính toàn vẹn, bảo mật, và hiệu quả của dữ liệu. Quản lý và tối ưu hóa cơ sở hạ tầng dữ liệu để đáp ứng nhu cầu của các phòng ban. Phân tích dữ liệu và báo cáo (30%) Thu thập và phân tích dữ liệu từ các nguồn khác nhau (kênh bán hàng, marketing, vận hành). Phát triển các báo cáo tự động hóa và dashboard hỗ trợ các quyết định chiến lược của CEO và các phòng ban. Xây dựng các mô hình phân tích dự đoán (predictive analytics) và phân tích hành vi khách hàng. Hỗ trợ các dự án chiến lược (30%) Hợp tác với các phòng ban (Marketing, Sales, Operations, Finance) để xác định nhu cầu dữ liệu và cung cấp giải pháp phù hợp. Tham gia triển khai các công cụ hoặc hệ thống dữ liệu mới (ví dụ: ERP, CRM). Đề xuất các cải tiến để tối ưu hóa các quy trình dựa trên dữ liệu.","Kinh nghiệm: Tối thiểu 3 năm kinh nghiệm trong vai trò Data Engineer, Data Analyst, hoặc vị trí tương tự. Hiểu biết sâu sắc về cơ sở dữ liệu (SQL, NoSQL), kho dữ liệu, và các công cụ ETL. Kinh nghiệm làm việc với các công cụ phân tích và visualization như Power BI, Tableau, hoặc Google Data Studio. Kỹ năng: Thành thạo các ngôn ngữ lập trình xử lý dữ liệu (Python, R, hoặc Scala). Kỹ năng mạnh về SQL để truy xuất và xử lý dữ liệu phức tạp. Hiểu biết về các hệ thống lưu trữ và quản lý dữ liệu (BigQuery, Snowflake, hoặc AWS Redshift). Kiến thức về các công cụ cloud như AWS, Azure, hoặc Google Cloud Platform. Kỹ năng giao tiếp và giải thích dữ liệu cho các nhóm không chuyên về kỹ thuật. Phẩm chất cá nhân: Tư duy logic, giải quyết vấn đề tốt. Tinh thần làm việc nhóm, chủ động và trách nhiệm. Khả năng làm việc trong môi trường startup năng động.","Lương cạnh tranh dựa trên kỹ năng và kinh nghiệm. Thưởng hiệu suất dựa trên kết quả công việc. Cơ hội làm việc với đội ngũ lãnh đạo và các phòng ban để tạo ra tác động chiến lược. Được tham gia các dự án công nghệ hiện đại và phát triển kỹ năng chuyên môn. Các chế độ phúc lợi hấp dẫn theo chính sách công ty (bảo hiểm, quà tặng sản phẩm Ru9, phụ cấp ăn trưa).",,,,,
Data Engineer (Quận 1 - HCM),Data Engineer ( Quận 1 - HCM),https://www.topcv.vn/viec-lam/data-engineer-quan-1-hcm/2108723.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,CÔNG TY TNHH HCL VIETNAM,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-tnhh-hcl-vietnam/190110.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,Thoả thuận,Thoả thuận,Hồ Chí Minh,Hồ Chí Minh,2 năm,2 năm,03/05/2026,2 năm kinh nghiệm; Đại Học trở lên; Data Engineer,"- Hồ Chí Minh: Riverfront Financial Center, 3A Tôn Đức Thắng, Bến Nghé, Phường Sài Gòn (Quận 1 cũ)",,"Agile Delivery & Collaboration Work within an agile team of Data Engineers to deliver scalable data solutions supporting major transformation programs. Collaborate across teams, regions, and business functions, using influencing and negotiation skills to build productive stakeholder relationships. Data Engineering Responsibilities Design and build optimized, secure, and governed data solutions aligned with enterprise standards. Develop robust data ingestion patterns ensuring scalability, security, and compliance. Build and maintain data pipelines and contribute to a real-time data ecosystem enabling interactive and customer-centric experiences. Integrate data flows with multiple systems through various interface types. Define, maintain, and publish data architecture standards for applications and infrastructure within the portfolio.","Technical Skills & Preferred Experience Core Cloud & Data Engineering Experience working with cloud platforms (preferably Google Cloud Platform). Strong background in building data pipelines and managing the end-to-end development lifecycle, including development, testing, and release processes. Experience/understanding of Data Mesh paradigms Hands-on experience with: SQL (GCP BigQuery) dbt Python GitHub/Github Action Terraform Docker Golang Dataflow Cloud Run Pub/Sub GCP IAM Nice to Have (Bonus Skills) Salesforce Data Cloud Agentforce Exposure to customer data platforms or real-time personalization systems.","Hybrid working environment. Collaborating with one of Top 4 largest banking of Australia 18 paid leaves/year (12 annual leaves and 6 personal leaves) Insurance plan based on full salary + 13th month salary 100% full salary and benefits as an official employee from the 1st day of working Medical benefit for employee and family Working in a fast-paced, flexible, and multinational working environment. Chance to travel onsite (in 49 countries) Free snacks, refreshment, and parking Internal training (Technical & Functional & English) Working time: From Mondays to Fridays",,,,,
"Senior/Lead Data Engineer (Azure, SQL, Power BI)","Senior/Lead Data Engineer (Azure, SQL , Power BI)",https://www.topcv.vn/viec-lam/senior-lead-data-engineer-azure-sql-power-bi/2105714.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,CÔNG TY TNHH MITEK VIỆT NAM,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mitek-viet-nam/198910.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,Thoả thuận,Thoả thuận,Hồ Chí Minh,Hồ Chí Minh,3 năm,3 năm,31/05/2026,3 năm kinh nghiệm; Đại Học trở lên; Data Engineer; Điện toán đám mây (Cloud),- Hồ Chí Minh: (Tất cả phường),,"Job Description We are seeking a Data Architecture and Integrations Lead to help design, build, and maintain our data ecosystem. This role will primarily – but not exclusively - focus on developing Azure Data Factory (ADF) pipelines, creating dimensional data models, integrating 3rd-party APIs, and delivering meaningful reports to stakeholders. Involvement in other technologies will also be involved. The successful candidate will collaborate closely with colleagues across teams and regions, learning continuously while applying strong problem-solving skills to support business intelligence and decision-making. Key Responsibilities Build & maintain ETL/ELT pipelines using Azure Data Factory (ADF) to ingest and transform data from multiple sources. Develop data models (star schema) with fact and dimension tables for the Data Warehouse. Integrate data from 3rd-party APIs (REST/JSON) for seamless data exchange. Work with SQL, Databricks, and Synapse to optimize data processing and storage. Develop reports/dashboards using Power BI to deliver meaningful insights to stakeholders. Monitor data pipelines & ensure data quality through automated logging, alerting, and validation. Implement CI/CD practices using Git to automate deployment and ensure code reproducibility.","Required qualifications: Bachelor’s degree in Computer Science, Data Science, Information Systems, or related field (or equivalent practical experience). 3+ years of work experience in data engineering, data analytics, or reporting. SQL Mastery: Proficiency in querying, data transformation, validation, and performance tuning. Azure Data Stack: Hands-on experience with Azure Data Factory (ADF) and Azure SQL Database. Data Modeling: Strong understanding of Data Warehouse concepts, specifically Dimensional Modeling (Star Schema, Fact/Dimension tables). ETL/ELT: Solid experience in designing and maintaining pipelines for data movement and transformation. English communication You will be a strong candidate if you have some of these: Experience with Azure Databricks or Synapse Analytics. Familiarity with CI/CD deployment techniques and Git. Ability to work in a global collaborative environment (spanning different time zones).","Competitive Income: Attractive salary, 13th-month bonus, year-end performance bonus Comprehensive Healthcare: PVI insurance, full social insurance, 24/7 accident insurance, annual health check-ups Training & Development: English courses, LinkedIn Learning, MiTek University, overseas training opportunities Leave Policy: 12 annual leave days, Christmas holiday Recognition of Achievements & Contributions: Employee of the Month/Year, Platinum Star Award, VIP trip for employees with 3 years of service Modern Facilities: Designed to support learning, working, and development Benefits: Free diverse lunch options, team-building activities, sports clubs (Badminton, Football, Swimming, Modern Dance, Yoga, Esports, Gym)",,,,,
IT Infrastructure Engineer (Data Center),IT Infrastructure Engineer (Data Center),https://www.topcv.vn/viec-lam/it-infrastructure-engineer-data-center/2101919.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dich-vu-cong-nghe-tin-hoc-hpt/239853.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,25 - 32 triệu,25 - 32 triệu,Hồ Chí Minh,Hồ Chí Minh,4 năm,4 năm,30/04/2026,4 năm kinh nghiệm; Trung cấp trở lên; Tiếng Anh Giao tiếp thành thạo; Bảo hiểm xã hội; Bảo hiểm sức khỏe; Khám sức khỏe định kỳ; Data Engineer; IT - Phần cứng và máy tính,- Hồ Chí Minh: Phường Tăng Nhơn Phú (Thành phố Thủ Đức cũ),Thứ 2 - Chủ nhật (từ 07:00 đến 19:00); Thứ 2 - Chủ nhật (từ 19:00 đến 07:00); Ca 1: 07h00 – 19h00 Ca 2: 19h00 – 07h00,"Thực hiện server landing / decommission Build server (Windows / Linux), client build Xử lý sự cố phần cứng (break/fix) trong môi trường Data Center Provisioning storage: - Block storage (3PAR / Power Max) - NetApp share - Object storage (S3 bucket) Quản lý Brocade Fabric (switch policies, parameters) Theo dõi và xử lý ticket (ServiceNow) Thực hiện kiểm tra định kỳ (audit, hardware check) Quản lý asset: cập nhật server name, location, owner, status Phối hợp vendor (RMA, warranty support) Thực hiện: install / move / add / change server Capacity planning: Power / Cooling / Space Thực hiện decommission server theo SOP","Ít nhất 4 năm kinh nghiệm vị trí tương đương. Tiếng anh giao tiếp tốt. Kinh nghiệm làm việc trong Data Center Kiến thức server hardware: HPE, Dell, SuperMicro Hiểu biết storage: NetApp / 3PAR / tương đương Sử dụng remote tools: iLO, DRAC, IPMI Có kinh nghiệm xử lý sự cố phần cứng Làm việc trong môi trường Data Center (rack, nhiệt độ cao) Có thể nâng thiết bị (khoảng 15kg), sử dụng thang, di chuyển giữa các khu vực","Lương tháng 13 Chi phí nghỉ hè Tham gia đầy đủ chế độ BHXH, BHYT, BHTN Khám sức khỏe định kỳ hàng năm. Thưởng lễ, Tết theo chính sách của công ty (01/01, 30/4, 02/09) Làm việc trong môi trường IT chuẩn quốc tế Tiếp cận hệ thống Data Center hiện đại Môi trường chuyên nghiệp, đồng nghiệp hỗ trợ",,,,,
IT Infrastructure Engineer (Data Center),IT Infrastructure Engineer (Data Center),https://www.topcv.vn/viec-lam/it-infrastructure-engineer-data-center/2101812.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dich-vu-cong-nghe-tin-hoc-hpt/141408.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,25 - 32 triệu,25 - 32 triệu,Hồ Chí Minh,Hồ Chí Minh,4 năm,4 năm,30/04/2026,4 năm kinh nghiệm; Trung cấp trở lên; Nam; Tiếng Anh Giao tiếp thành thạo; Bảo hiểm xã hội; Bảo hiểm sức khỏe; Thưởng tháng 13; Data Engineer; IT - Phần cứng và máy tính,- Hồ Chí Minh: Phường Tăng Nhơn Phú (Thành phố Thủ Đức cũ),Thứ 2 - Chủ nhật (từ 07:00 đến 19:00); Thứ 2 - Chủ nhật (từ 19:00 đến 07:00); Ca 1: 07h00 – 19h00 Ca 2: 19h00 – 07h00,"Thực hiện server landing / decommission Build server (Windows / Linux), client build Xử lý sự cố phần cứng (break/fix) trong môi trường Data Center Provisioning storage: - Block storage (3PAR / PowerMax) - NetApp share - Object storage (S3 bucket) Quản lý Brocade Fabric (switch policies, parameters) Theo dõi và xử lý ticket (ServiceNow) Thực hiện kiểm tra định kỳ (audit, hardware check) Quản lý asset: cập nhật server name, location, owner, status Phối hợp vendor (RMA, warranty support) Thực hiện: install / move / add / change server Capacity planning: Power / Cooling / Space Thực hiện decommission server theo SOP","Ít nhất 4 năm kinh nghiệm vị trí tương đương. Tiếng anh giao tiếp tốt. Kinh nghiệm làm việc trong Data Center Kiến thức server hardware: HPE, Dell, SuperMicro Hiểu biết storage: NetApp / 3PAR / tương đương Sử dụng remote tools: iLO, DRAC, IPMI Có kinh nghiệm xử lý sự cố phần cứng Làm việc trong môi trường Data Center (rack, nhiệt độ cao) Có thể nâng thiết bị (khoảng 15kg), sử dụng thang, di chuyển giữa các khu vực","Lương tháng 13 Chi phí nghỉ hè Tham gia đầy đủ chế độ BHXH, BHYT, BHTN Khám sức khỏe định kỳ hàng năm. Thưởng lễ, Tết theo chính sách của công ty (01/01, 30/4, 02/09) Làm việc trong môi trường IT chuẩn quốc tế Tiếp cận hệ thống Data Center hiện đại Môi trường chuyên nghiệp, đồng nghiệp hỗ trợ",,,,,
Trưởng Nhóm Data,Trưởng Nhóm Data,https://www.topcv.vn/viec-lam/truong-nhom-data/2085469.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-alphaway/201267.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,20 - 34 triệu,20 - 34 triệu,Hồ Chí Minh,Hồ Chí Minh,5 năm,5 năm,20/04/2026,5 năm kinh nghiệm; Cao Đẳng trở lên; Data Engineer,"- Hồ Chí Minh: 747 Đ. Hồng Bàng, Phường 2, Quận 6, Phường Bình Tây (Quận 6 cũ)",Thứ 2 - Thứ 6 (từ 09:00 đến 18:30),"Receiving and understanding business requirements Examine, analyze and evaluate source data Do the mapping source data with Data Warehouse Design, build, execute, and manage the data extraction process. Design, build, execute periodically & Adhoc reports Compare & checking data Hand over source code, jobs to extract data to Operation Department Join IT project and perform assigned tasks within the project scope Perform other tasks assigned by the team leader Hand over source code, jobs to extract data to Operation Department Join IT project and perform assigned tasks within the project scope Perform other tasks assigned by the team leader","2. Relevant Knowledge / Expertise Knowledge of banking (products, services, process,..) Knowledge of MIS, Data Warehouse Knowledge of database management and data mining Knowledge of Data Model, Dimensional Model Proficient programming languages: C#, VB.NET, SQL, PL / SQL, Visual Fox Proficient Database: Oracle, SQL Server, Visual Fox, MS Access Proficient ETL tools: DataStage, SSIS, ODI, Informatica... Can using Data Modeling tools: Erwin, Power Designer.. 3. Skills Foreign language: English (can read documents and communicate) Skills to use the support software: Microsoft Office, Microsoft Project ... Communications Capability Problem Solving Capability Skills to collect, filter, analyze and evaluate information. Ability to teamwork","Làm từ T2-T6 (T7 và CN nghỉ) Lương thỏa thuận, lương tháng 13, thưởng 1 năm tầm 3-4 tháng Hưởng đầy đủ các chính sách và chế độ như: BHYT, BHXH, BHTN,.. theo đúng quy định của Bộ Luật Lao động và của Công ty; Tham gia các hoạt động nghỉ mát, team building Làm việc trong môi trường cởi mở, năng động, khuyến khích sự sáng tạo.",,,,,
Bussiness Analyst (Chuyên Viên Kết Nối Phân Tích Dữ Liệu),Bussiness Analyst (Chuyên Viên Kết Nối Phân Tích Dữ Liệu ),https://www.topcv.vn/viec-lam/bussiness-analyst-chuyen-vien-ket-noi-phan-tich-du-lieu/2086513.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,CÔNG TY TNHH PFAM,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-tnhh-pfam/163886.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,Thoả thuận,Thoả thuận,Hồ Chí Minh,Hồ Chí Minh,2 năm,2 năm,22/04/2026,2 năm kinh nghiệm; Trung cấp trở lên; Data Engineer,"- Hồ Chí Minh: 1/2D Sơn Kỳ, Phường Tân Sơn Nhì (quận Tân Phú cũ)",Thứ 2 - Thứ 7 (từ 08:00 đến 17:00); Thứ 7 làm cách tuần,"Thiết kế và xây dựng hệ thống dữ liệu vận hành tập trung (centralized data system) cho toàn bộ SKU. Xây dựng data model liên kết các nguồn dữ liệu: - Inventory (tồn kho) - Inbound (hàng đang sản xuất/vận chuyển) - Sales (bán ra) - Returns/Defect rate - Ads performance Phát triển các công cụ data processing & automation bằng: Excel (VBA), Google Sheets (Apps Script), hoặc Python Xây dựng dashboard / reporting layer: - Cho phép truy xuất dữ liệu theo từng SKU - Hiển thị đầy đủ các chỉ số vận hành theo thời gian thực hoặc gần real-time Thiết kế logic drill-down (từ tổng → chi tiết) Chuẩn hóa và tối ưu data pipeline nội bộ: Data input → cleaning → processing → output Đảm bảo tính nhất quán và chính xác của dữ liệu Phối hợp với các bộ phận: Ads/Marketing Supply chain Warehouse → để define logic và luồng dữ liệu","Tốt nghiệp các chuyên ngành liên quan như Công nghệ thông tin, Hệ thống thông tin, Toán – Tin, khoa học máy tính. Thành thạo Excel nâng cao (Pivot Table, XLOOKUP hoặc INDEX/MATCH...); Có kinh nghiệm xử lý dữ liệu lớn. Có kinh nghiệm Power Query là một lợi thế. Có khả năng xây dựng Dashboard hoặc hệ thống báo cáo phục vụ quản trị dữ liệu. Yêu cầu có kinh nghiệm trong việc tự động hóa quy trình xử lý dữ liệu thông qua một trong các công cụ như VBA, Google Apps Script hoặc Python, đồng thời hiểu cơ bản về cách tổ chức và vận hành luồng dữ liệu từ khâu thu thập, xử lý đến hiển thị. Có tư duy hệ thống tốt, có khả năng phân tích bài toán vận hành và chuyển hóa thành cấu trúc dữ liệu logic, chuẩn hóa và duy trì tính nhất quán của dữ liệu. Ưu tiên đã từng làm việc với dữ liệu liên quan đến ecommerce, retail, supply chain hoặc đã có kinh nghiệm xây dựng các công cụ nội bộ, hệ thống tracking SKU, inventory hoặc các hệ thống báo cáo phục vụ vận hành.","Mức lương: Thỏa thuận theo năng lực. Được hưởng đầy đủ các chế độ BHXH – BHYT – BHTN theo quy định pháp luật. Xét tăng lương định kỳ theo quy định Công ty. Môi trường làm việc chuyên nghiệp, ổn định và có cơ hội phát triển lâu dài. Du lịch Công ty 01 lần/năm.",,,,,
"Senior Database Engineer (SQL Server/PostgreSQL, Performance Optimization)","Senior Database Engineer ( SQL Server/PostgreSQL, Performance Optimization)",https://www.topcv.vn/viec-lam/senior-database-engineer-sql-server-postgresql-performance-optimization/2086993.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,Công ty TNHH Aziworld,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/cong-ty-tnhh-aziworld/98417.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,12 - 18 triệu,12 - 18 triệu,Hồ Chí Minh,Hồ Chí Minh,3 năm,3 năm,19/04/2026,3 năm kinh nghiệm; Đại Học trở lên; Database Administrator (DBA); IT - Phần mềm,"- Hồ Chí Minh: 284/41/2 Lý Thường Kiệt, Phường Diên Hồng (Quận 10 cũ)",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00); Thứ 7 (từ 08:00 đến 12:00),"Thiết kế và tối ưu cấu trúc cơ sở dữ liệu cho PostgreSQL, MongoDB và MS SQL Server. Phát triển Stored Procedure, Function và Trigger. Tối ưu hiệu năng truy vấn (Query Optimization, Indexing). Phân tích và xử lý dữ liệu lớn (Data Processing, Reporting). Thiết kế database cho các hệ thống CRM, CDP, Loyalty, POS. Phối hợp với Backend Developer để tối ưu API performance. Thực hiện backup, restore, đảm bảo an toàn dữ liệu.","Có ít nhất 3 năm kinh nghiệm làm việc với Database. Thành thạo SQL (Query, Join, Subquery, Index, Execution Plan). Có kinh nghiệm viết Stored Procedure phức tạp. Hiểu rõ về Normalization, Transaction, Locking. Có kinh nghiệm tối ưu hiệu năng hệ thống lớn.","Mức lương cạnh tranh, tương xứng với năng lực và kinh nghiệm. Cơ hội làm việc lâu dài, phát triển chuyên môn và kỹ năng quản lý. Thưởng các dịp Lễ, Tết; thưởng tháng 13, 13+ và thưởng thâm niên. Xét tăng lương định kỳ 6 -12 tháng. Công ty đang trong giai đoạn mở rộng mạnh mẽ – cơ hội thăng tiến lên các vị trí cao hơn dành cho ứng viên thể hiện tốt năng lực. Đảm bảo đầy đủ quyền lợi theo quy định của Luật Lao động và BHXH. Các chế độ phúc lợi khác theo quy định nội bộ của Công ty.",,,,,
Data Engineer Intern,Data Engineer Intern,https://www.topcv.vn/viec-lam/data-engineer-intern/1991600.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,ATALINK TECHNOLOGY JOINT STOCK COMPANY,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/atalink-technology-joint-stock-company/43485.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,1 - 3 triệu,1 - 3 triệu,Hồ Chí Minh,Hồ Chí Minh,Không yêu cầu,Không yêu cầu,10/04/2026,Không yêu cầu kinh nghiệm; Đại Học trở lên; Nghỉ thứ 7; Data Engineer; IT - Phần mềm,"- Hồ Chí Minh: Công viên phần mềm Quang Trung, Phường Trung Mỹ Tây (Quận 12 cũ)",Thứ 2 - Thứ 6 (từ 08:30 đến 18:00),"Assist in building and maintaining data pipelines (ETL/ELT) Collect, clean, and process data from multiple sources (APIs, databases, files, crawlers, etc.) Work with databases such as PostgreSQL, MySQL, ClickHouse Participate in workflow orchestration using Apache Airflow Support performance optimization of data pipelines and SQL queries Write and maintain technical documentation Collaborate with Backend Engineers and SSI","Final-year students or recent graduates in Computer Science, Data Science, Information Systems, Mathematics, or related fields Practical experience working with PostgreSQL, MySQL, ClickHouse, or similar databases Good SQL skills; knowledge of VBA is an advantage Familiarity with Python, Node.js, or other programming languages is a plus Strong logical thinking and a strong willingness to learn Ability to read and understand technical documentation in English","Salary: 3,000,000 VND / Month Meal allowance: 40,000 VND / Day Free parking A dynamic high-tech environment to foster technical and communication skills Work closely with friendly colleagues and mentors On-the-job training with active & enthusiastic team for talents to grow",,,,,
Fresher Data Engineer,Fresher Data Engineer,https://www.topcv.vn/viec-lam/fresher-data-engineer/2071848.html?ta_source=JobSearchList_LinkDetail&u_sr_id=dykA55n9HkUyPF98RWrUdpq4SMnNcJ0OpiL84q6l_1775275864,FPT Software,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM - Chuyên trang tuyển dụng,https://www.topcv.vn/cong-ty/fpt-software/3.html,https://www.topcv.vn/cong-ty/cong-ty-tnhh-transcosmos-viet-nam/248732.html?ta_source=IntroModal#section-live-stream,Thoả thuận,Thoả thuận,Hồ Chí Minh,Hồ Chí Minh,Dưới 1 năm,Dưới 1 năm,30/04/2026,Dưới 1 năm kinh nghiệm; Đại Học trở lên; Nghỉ thứ 7; Data Engineer; IT - Phần mềm,"- Hồ Chí Minh: Lô T2, đường D1, khu Công nghệ cao, Phường Tăng Nhơn Phú (Thành phố Thủ Đức cũ)",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),"- FPT Software HCM is seeking graduates and soon-to-be graduates to participate in large scale software development projects for international clients. - We offer an intensive 3–6 month training Data Engineer, designed from real-world experience in major projects with leading global corporations. - Benefit from a professional training curriculum designed based on practical insights and industry standards. - Upon successful completion, candidates will have the opportunity to become professional software developers at FPT Software.","- Bachelor's degree in Computer Science, Data Science, Information Technology, or a related field. - Good experience working with Python, Pyspark. - Experience in solving problems related to algorithms, data processing, AI/ML, or software deployment is preferred. - Strong logical thinking and problem-solving skills. - Learning Attitude: Having a positive attitude, eagerness to learn, and dedication to practice and improve is crucial for success in learning Data - Good reading comprehension and communication skills in English, equivalent to TOEIC 700+ or higher. - Able to work full-time from Monday to Friday (8:00 AM – 5:00 PM)","- Monthly training allowance - Working and self-development in a professional environment - Opportunity to become a full-time employee at FPT Software after completing the training program. Experience the unique corporate culture and work in one of the most modern workplaces in Vietnam at FPT Software’s campuses - Enjoy FPT Software’s benefits package upon becoming a full-time employee: Social Insurance, Health Insurance, and Unemployment Insurance in accordance with government regulations; FPT Care health insurance; and a special annual vacation policy exclusively for company employees.",,,,,
