shop_name,listing_id,title,price,tags,etsy_url,image_url,listing_age,views,favorites,reviews,avg_reviews,state,total_sold,visibility_score,est_reviews,category,sub_category,listing_type,ship_from,when_made,who_made,is_customizable,has_variations,mo_sales,mo_revenue,total_sales_est,growth_rate,listing_active_count
GONdesignJEWELRY,4480804843,"Custom Wedding Welcome Sign, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date, wedding banner",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift, linen sheet",https://www.etsy.com/listing/4480804843/custom-wedding-welcome-sign-fabric-bar,https://i.etsystatic.com/30078352/r/il/949a38/7863508042/il_170x135.7863508042_nozy.jpg,2,6426,590,3333,7,active,17006,100,13,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4496130098,"Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar sign, wedding sign sign",https://www.etsy.com/listing/4496130098/personalized-linen-striped-bar-or-event,https://i.etsystatic.com/30078352/r/il/ab2e1c/8009641291/il_170x135.8009641291_ljqp.jpg,1,5213,479,3333,0,active,17006,100,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4482549830,"Personalized Linen striped bar or event Sign, Custom Wedding Welcome Sign, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift",https://www.etsy.com/listing/4482549830/personalized-linen-striped-bar-or-event,https://i.etsystatic.com/30078352/r/il/220ca9/7922560985/il_170x135.7922560985_obcg.jpg,1,4330,283,3333,9,active,17006,100,9,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4473871755,"Memorial Wedding Chair Sign, Reserved Banner for Loved Ones, In Loving Memory Sign, Ceremony Tribute, Wedding Aisle, linen Rustic Accent",32.99,"memorial sign, wedding signs, wedding decor, memorial plaque, wedding decoration, in loving memory, wedding aisle decor, custom sign, rustic wedding, mother of the bride, mother of the groom, in memory banner, remembrance gift",https://www.etsy.com/listing/4473871755/memorial-wedding-chair-sign-reserved,https://i.etsystatic.com/30078352/r/il/d3ca23/7817949080/il_170x135.7817949080_lh2w.jpg,2,2318,86,3333,2,active,17006,100,4,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4477051594,"Personalized Linen striped bar or event Sign, Linen Cotton, Wedding, Birthday, Anniversary, custom name bar wedding sign, wedding banner",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift, linen sheet",https://www.etsy.com/listing/4477051594/personalized-linen-striped-bar-or-event,https://i.etsystatic.com/30078352/r/il/49a72d/7886581873/il_170x135.7886581873_tk2x.jpg,2,2218,136,3333,1,active,17006,100,1,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4477022586,"Personalized Linen bar or event Sign, Linen Cotton, Wedding, Birthday, Anniversary sign, custom name bar wedding sign decor",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar, bar sign gift, linen sheet",https://www.etsy.com/listing/4477022586/personalized-linen-bar-or-event-sign,https://i.etsystatic.com/30078352/r/il/997ee2/7838448410/il_170x135.7838448410_87fa.jpg,2,2187,119,3333,2,active,17006,100,3,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4466969215,"Wedding Table Runner, Personalized Last Name Sign, Custom Linen Wedding Banner, Sweetheart Table Decor, Wedding Reception table runner decor",30.99,"wedding table decor, sweetheart table, linen table runner, wedding banner, fabric wedding sign, wedding table runner, bridal shower gift, custom wedding, custom table runner, custom table sign, linen table sign, wedding table sign, wedding gift",https://www.etsy.com/listing/4466969215/wedding-table-runner-personalized-last,https://i.etsystatic.com/30078352/r/il/de5dc6/7820523311/il_170x135.7820523311_7b9u.jpg,2,1659,115,3333,1,active,17006,100,1,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4481897750,"Personalized Linen striped bar or event Sign, Linen Cotton Wedding bar sign, Anniversary, custom name bar wedding sign, wedding banner",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift, linen sheet",https://www.etsy.com/listing/4481897750/personalized-linen-striped-bar-or-event,https://i.etsystatic.com/30078352/r/il/783050/7918496449/il_170x135.7918496449_jtsf.jpg,1,1274,67,3333,2,active,17006,100,2,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4483844779,"Striped Cotton Linen Birthday Banner, Custom Name Party Backdrop, Striped Fabric Hanging Decor, Kids Birthday Welcome",32.99,"birthday banner, striped banner, party welcome sign, custom name banner, party photo backdrop, birthday wall decor, party event banner, blue stripe decor, custom party sign, birthday sign, party backdrop, birthday backdrop, birthday decor",https://www.etsy.com/listing/4483844779/striped-cotton-linen-birthday-banner,https://i.etsystatic.com/30078352/r/il/684568/7930527909/il_170x135.7930527909_drd7.jpg,1,984,53,3333,0,active,17006,100,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4471241144,"Kid Pencil Graduation Stole, Custom Name Crayon Pre K Grad stole, Kindergarten Class Of 2026 Boy Girl, Personalized Graduation Gift for Son",19.99,"kids grad stole, custom kid stole, preschool grad gift, kindergarten stole, toddler graduation, grad stole for kids, pencil grad stole, custom grad sash, pre-k grad stole, graduation gift kid, cute grad stole, sash for preschool, class of 2026 gift",https://www.etsy.com/listing/4471241144/kid-pencil-graduation-stole-custom-name,https://i.etsystatic.com/30078352/r/il/4dc1c8/7800328938/il_170x135.7800328938_qc6f.jpg,2,911,36,3333,2,active,17006,99,3,Accessories,Scarves,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4462746871,"Custom Mom Shirt, Custom Bootleg Rap Tee With Face Photo, Customized Mother&#39;s Day Gift, Mama Shirt, Best Mom Shirt, Unique Gift for Mom",13.63,"custom t shirts, custom photo shirt, custom shirt, custom mom gift, mama shirt, custom mom shirt, mother's day gift, personalized mom, custom bootleg rap, gift for mom, mothers day shirt, best mom shirt, new mom gift",https://www.etsy.com/listing/4462746871/custom-mom-shirt-custom-bootleg-rap-tee,https://i.etsystatic.com/30078352/c/2830/2830/78/84/il/0e89bb/7792481503/il_170x135.7792481503_eyll.jpg,3,899,19,3333,0,active,17006,72,1,Clothing,T-shirts,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4494068341,"Custom Wedding Welcome Sign, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date, wedding banner, cheer barr sign",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift, linen sheet",https://www.etsy.com/listing/4494068341/custom-wedding-welcome-sign-fabric-bar,https://i.etsystatic.com/30078352/r/il/29a89e/7996145045/il_170x135.7996145045_omqm.jpg,1,879,53,3333,1,active,17006,100,1,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4472821872,"Funny Frog Scrub Cap: Say Weird Stuff Quote Meme Medical Hat, Sarcastic Quote, Funny Frog for nurse, Vet Gift.",19.99,"funny scrub cap, frog meme gift, neurodivergent, adhd nurse gift, weird stuff quote, surgical hat, vet tech gift, chaos coordinator, sarcastic medical, meme scrub hat, anesthesia cap, funny doctor cap, unhinged decor",https://www.etsy.com/listing/4472821872/funny-frog-scrub-cap-say-weird-stuff,https://i.etsystatic.com/30078352/r/il/ca0fe9/7811139256/il_170x135.7811139256_f8yl.jpg,2,745,36,3333,1,active,17006,87,1,Accessories,Hats & Caps,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4488543020,"Bridal Shower Banner, Fresh Off The Market Theme Sign, Personalized Welcome Linen Decor, Bridal Showe sign decor",32.99,"bridal shower sign, fresh off market, farm theme shower, farmers market, bridal welcome, custom shower sign, rustic bridal decor, green shower decor, bride to be sign, market theme party, personalized banner, garden bridal banner, linen shower decor",https://www.etsy.com/listing/4488543020/bridal-shower-banner-fresh-off-the,https://i.etsystatic.com/30078352/r/il/e7a17f/7912013304/il_170x135.7912013304_1xvw.jpg,1,699,27,3333,1,active,17006,99,1,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4471748034,"Raccoon Meme Scrub Cap: First of All I&#39;m a Delight Funny Surgical Hat, Nurse Gift, funny Scrub Capch",19.99,"social justice, raccoon scrub cap, funny nurse cap, meme scrub hat, im a delight hat, trash panda scrub, vet tech gift, funny doctor gift, sarcastic scrub cap, medical humor, animal meme cap, pediatric nurse cap, surgical hat gift",https://www.etsy.com/listing/4471748034/raccoon-meme-scrub-cap-first-of-all-im-a,https://i.etsystatic.com/30078352/r/il/d6acbc/7803789984/il_170x135.7803789984_e7x1.jpg,2,680,46,3333,1,active,17006,81,1,Accessories,Hats & Caps,physical,VN,made_to_order,i_did,False,True,,,,,176
