web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,image,image2
1780902195-1,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Alayna,"Alayna on Jun 7, 2026",So excited to use this at my cocktail hour!,"Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign",5 out of 5 stars,Report this review,https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg,https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75
1780902195-2,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Alayna,"Alayna on Jun 7, 2026",Will look perfect for cocktail hour at my wedding!,"Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign",5 out of 5 stars,Report this review,https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg,https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75
1780902195-3,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Brooke,"Brooke on Jun 7, 2026",Loved it! Absolutely perfect for my toddler’s bday!,"Personalised Birthday Name Flag, Birthday Banner, Custom Birthday Banner, Fabric Sign, Fabric Birtday Sign,  linen Birthday Boho banner","Personalised Birthday Name Flag, Birthday Banner, Custom Birthday Banner, Fabric Sign, Fabric Birtday Sign,  linen Birthday Boho banner",5 out of 5 stars,Report this review,https://i.etsystatic.com/7861378539/r/il/5c5797/7861378539/il_340x270.7861378539_jb2l.jpg,https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75
1780902195-4,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Etsy buyer,"Etsy buyer on Jun 7, 2026",Absolutely gorgeous. It will be a beautiful way to honor my future husband’s father at our wedding. Thank you!,"Memorial Wedding Chair Sign, Reserved Banner for Loved Ones, In Loving Memory Sign, Ceremony Tribute, Wedding Aisle, linen Rustic Accent","Memorial Wedding Chair Sign, Reserved Banner for Loved Ones, In Loving Memory Sign, Ceremony Tribute, Wedding Aisle, linen Rustic Accent",5 out of 5 stars,Report this review,https://i.etsystatic.com/7817949080/r/il/d3ca23/7817949080/il_340x270.7817949080_lh2w.jpg,https://i.etsystatic.com/iusa/deb825/46379841/iusa_75x75.46379841_c9g7.jpg?version=0
1780902195-5,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Alison,"Alison on Jun 5, 2026",This banner was perfect for my son’s first birthday photo shoot!,"Personalised Birthday Name Flag, Birthday Banner, Custom Birthday Banner, Fabric Sign, Fabric Birtday Sign,  linen Birthday Boho banner","Personalised Birthday Name Flag, Birthday Banner, Custom Birthday Banner, Fabric Sign, Fabric Birtday Sign,  linen Birthday Boho banner",5 out of 5 stars,Report this review,https://i.etsystatic.com/7861378539/r/il/5c5797/7861378539/il_340x270.7861378539_jb2l.jpg,https://i.etsystatic.com/iusa/9ca997/89648438/iusa_75x75.89648438_a10w.jpg?version=0
1780902195-6,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,kayla,"kayla on Jun 4, 2026","Just as pictured, great quality!","Memorial Wedding Chair Sign, Reserved Banner for Loved Ones, In Loving Memory Sign, Ceremony Tribute, Wedding Aisle, linen Rustic Accent","Memorial Wedding Chair Sign, Reserved Banner for Loved Ones, In Loving Memory Sign, Ceremony Tribute, Wedding Aisle, linen Rustic Accent",5 out of 5 stars,Report this review,https://i.etsystatic.com/7817949080/r/il/d3ca23/7817949080/il_340x270.7817949080_lh2w.jpg,https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75
1780902195-7,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Julien,"Julien on May 31, 2026",great for wedding looks awesome!,"Custom Wedding Welcome Sign, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date, wedding banner","Custom Wedding Welcome Sign, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date, wedding banner",5 out of 5 stars,Report this review,https://i.etsystatic.com/7863508042/r/il/949a38/7863508042/il_340x270.7863508042_nozy.jpg,https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75
1780902195-8,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Hannah,"Hannah on Jun 6, 2026",The sellers were very helpful in ensuring I received a high quality product.,"Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign","Personalized Linen striped bar or event Sign, name Wedding Welcome banner, Fabric Bar Menu Banner, Linen Cotton, Personalized Name Date sign",4 out of 5 stars,Report this review,https://i.etsystatic.com/8009641291/r/il/ab2e1c/8009641291/il_340x270.8009641291_ljqp.jpg,https://i.etsystatic.com/iusa/d0f347/81237727/iusa_75x75.81237727_bx5s.jpg?version=0
1780902195-9,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Kristyn,"Kristyn on Jun 5, 2026",I would highly recommend these!,"Custom Graphic Photo Vintage Custom 40th 50th Birthday Bootleg Shirt, Personalized Photo Tee, Funny Gift, Birthday Gift","Custom Graphic Photo Vintage Custom 40th 50th Birthday Bootleg Shirt, Personalized Photo Tee, Funny Gift, Birthday Gift",5 out of 5 stars,Report this review,https://i.etsystatic.com/7694504822/r/il/65460a/7694504822/il_340x270.7694504822_o49n.jpg,https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75
1780902195-10,https://www.etsy.com/shop/GONdesignJEWELRY#reviews,,Kristyn,"Kristyn on Jun 5, 2026",The quality is amazing in the Customer Service was great!,"Custom Graphic Photo Vintage Custom 40th 50th Birthday Bootleg Shirt, Personalized Photo Tee, Funny Gift, Birthday Gift","Custom Graphic Photo Vintage Custom 40th 50th Birthday Bootleg Shirt, Personalized Photo Tee, Funny Gift, Birthday Gift",5 out of 5 stars,Report this review,https://i.etsystatic.com/7694504822/r/il/65460a/7694504822/il_340x270.7694504822_o49n.jpg,https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75
